
2017.09.23 16.17.45 "[i1] rejectProposal(p1): Apple $3.85"
2017.09.23 16.17.45 "[i1] rejectProposal(p1): Banana $1.85"
2017.09.23 16.17.45 "[i1] rejectProposal(p1): Pineapple $4.31"
2017.09.23 16.17.45 "[i1] rejectProposal(p1): Pineapple $4.31"
2017.09.23 16.17.45 "[i2] acceptProposal(p1): Banana $2.41"
2017.09.23 16.17.45 "[i2] acceptProposal(p1): Banana $2.41"
2017.09.23 16.17.45 "[i2] acceptProposal(p1): Banana $2.41"
2017.09.23 16.17.45 "[i2] rejectProposal(p1): Pineapple $3.92"
2017.09.23 16.17.45 "[i2] rejectProposal(p1): Apple $3.43"
2017.09.23 16.17.45 "[i2] rejectProposal(p2): Banana $2.66"
2017.09.23 16.17.45 "[i2] acceptProposal(p2): Pineapple $2.84"
2017.09.23 16.17.45 "[i2] acceptProposal(p2): Apple $2.30"
2017.09.23 16.17.45 "[i2] acceptProposal(p2): Pineapple $2.84"
2017.09.23 16.17.45 "[i2] rejectProposal(p2): Banana $2.66"
2017.09.23 16.17.45 "[i2] rejectProposal(p2): Banana $2.66"
2017.09.23 16.17.45 "[i2] rejectProposal(p2): Banana $2.66"
2017.09.23 16.17.45 "[i2] rejectProposal(p1): Pineapple $3.92"
2017.09.23 16.29.53 "[i1] Asked for: Banana"
2017.09.23 16.29.53 "[i2] Asked for: Banana"
2017.09.23 16.29.53 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.29.53 "[i1] Asked for: Apple"
2017.09.23 16.29.53 "[i1] Refuse(p1): 'Product'"
2017.09.23 16.29.53 "[i1] Asked for: Guava"
2017.09.23 16.29.53 "[i1] Refuse(p2): 'Product'"
2017.09.23 16.29.53 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.29.53 "[i2] Asked for: Apple"
2017.09.23 16.29.53 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.29.53 "[i2] Refuse(p1): 'Product'"
2017.09.23 16.29.53 "[i1] Asked for: Pineapple"
2017.09.23 16.29.53 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.29.53 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.29.53 "[i2] Refuse(p2): 'Product'"
2017.09.23 16.29.53 "[i2] Asked for: Guava"
2017.09.23 16.29.53 "[i2] Refuse(r): 'Apple'"
2017.09.23 16.29.53 "[i2] Asked for: Pineapple"
2017.09.23 16.29.53 "[i2] Refuse(r): 'Guava'"
2017.09.23 16.29.53 "[i2] Refuse(r): 'Pineapple'"
2017.09.23 16.30.56 "[i2] Asked for: Banana"
2017.09.23 16.30.56 "[i1] Asked for: Banana"
2017.09.23 16.30.56 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.30.56 "[i1] Asked for: Apple"
2017.09.23 16.30.56 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.30.56 "[i2] Asked for: Apple"
2017.09.23 16.30.56 "[i1] Refuse(p1): 'Product'"
2017.09.23 16.30.56 "[i1] Asked for: Guava"
2017.09.23 16.30.56 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.30.56 "[i2] Refuse(p1): 'Product'"
2017.09.23 16.30.56 "[i2] Refuse(p2): 'Product'"
2017.09.23 16.30.56 "[i2] Asked for: Guava"
2017.09.23 16.30.56 "[i2] Refuse(r): 'Apple'"
2017.09.23 16.30.56 "[i2] Asked for: Pineapple"
2017.09.23 16.30.56 "[i1] Refuse(p2): 'Product'"
2017.09.23 16.30.56 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.30.56 "[i2] Refuse(r): 'Guava'"
2017.09.23 16.30.56 "[i1] Asked for: Pineapple"
2017.09.23 16.30.56 "[i2] Refuse(r): 'Pineapple'"
2017.09.23 16.30.56 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.31.59 "[i1] Asked for: Banana"
2017.09.23 16.31.59 "[i2] Asked for: Banana"
2017.09.23 16.31.59 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.31.59 "[i1] Asked for: Apple"
2017.09.23 16.31.59 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.31.59 "[i1] Asked for: Guava"
2017.09.23 16.31.59 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.31.59 "[i2] Asked for: Apple"
2017.09.23 16.31.59 "[i2] Received(p1): 'Banana' $1.15"
2017.09.23 16.31.59 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.31.59 "[i1] Received(p1): 'Banana' $1.01"
2017.09.23 16.31.59 "[i1] Received(p2): 'Banana' $2.19"
2017.09.23 16.31.59 "[i1] Asked for: Pineapple"
2017.09.23 16.31.59 "[i1] Received(p2): 'Apple' $3.84"
2017.09.23 16.31.59 "[i2] Asked for: Guava"
2017.09.23 16.31.59 "[i2] Received(p2): 'Banana' $2.76"
2017.09.23 16.31.59 "[i1] Received(p1): 'Apple' $3.39"
2017.09.23 16.31.59 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.31.59 "[i2] Asked for: Pineapple"
2017.09.23 16.31.59 "[i2] Refuse(r): 'Apple'"
2017.09.23 16.31.59 "[i2] Refuse(r): 'Guava'"
2017.09.23 16.31.59 "[i1] Refuse(p2): 'Product'"
2017.09.23 16.31.59 "[i1] Received(p2): 'Pineapple' $4.24"
